Año;Nombre;Direccion;Barrio;Comuna;Clasificación;Declaratoria plan de ordenamiento territorial;Fecha creación;Técnica y material;Estado integridad;Estado conservación;Tipología;Elementos;Ficha de inventario;Observaciones
2021;Carlos Holmes Trujillo M.;Calle 72U Carrera 28F;El Poblado II;13;Estatua;Si;28/05/1990;Cemento;Completo;Bueno;Busto;Pedestal en Mármol. Base en Granito. Placas;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-17.pdf;No Existe - Desaparecido
2021;Sebastián de Belalcázar;Calle 7 Oeste con Carrera 2 Oeste;Arboledas;2;Estatua;Si;25/07/1937;Bronce Fundido a la Cera Perdida;Incompleto;Malo;Escultura Pedestre de Bulto Redondo;Pedestal;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-18.pdf;Sin observación
2021;Efraín y María;Avenida 2N 10 – 70;Centenario;2;Monumento;Si;1/01/1920;Mármol Blanco de Carrara  Tallado y Pulido Fragmentado;Completo;Bueno;Grupo Escultórico;Busto de Jorfe Isaac en Remate de columna central. Base;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-19.pdf;Sin observación
2021;Tres Cruces;Cerro de las Tres Cruces;Corregimiento Golondrinas;65;Monumento;Si;6/01/1938;Concreto Armado;Bueno;Regular;Tres Estructuras en Forma de Cruz Latina;Desconocido;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-20.pdf;Sin observación
2021;Cristo Rey;Cerro de Los Cristales;Corregimiento Los Andes;56;Monumento;Si;25/10/1953;Fundida en Concreto Armado;Completo;Bueno;Escultura de Bulto Redondo;Base y placa;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-21.pdf;Sin observación
2021;Las Aves del Rio;Avenida 2N 10 – 70;Granada;2;Monumento;Si;6/12/1996;Láminas de Hierro Soldado y Concreto Armado;Completo;Bueno;Estructura;Base;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-22.pdf;Sin observación
2021;El Perro;Carrera 34 Calle 3 Oeste;San Fernando Viejo;19;Monumento;Si;1/01/1964;Modelado en Concreto;Completo;Bueno;Escultura de Bulto Redondo;Pedestal;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-23.pdf;Sin observación
2021;Esfuerzo de la Raza;Carrera 54 Calle 6 Oeste;Belisario Caicedo;20;Monumento;Si;1/01/1973;Modelado en Ferro Concreto;Completo;Bueno;Escultura de Bulto Redondo;Pedestal en Cemento y Placa;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-24.pdf;Sin observación
2021;Jorge Isaac 1957;Carrera 7 Calle 26;Jorge Isaac;4;Estatua;Si;1/01/1957;Concreto;Completo;Bueno;Busto;Pedestal;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-25.pdf;Sin observación
2021;La Virgen;Carrera 12 Calles 36 y 37;Las Américas;8;Monumento;Si;1/01/9999;"""Gruta"" en Concreto que contiene reproducción de la Virgen en Yeso";Completo;Bueno;Escultura Pedestre en Bulto Redondo;Base;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-26.pdf;Fecha de creación desconocida
